key_id,Title,Relevance Score,Reasoning,Methods,Technologies,Automated Manufacturing Level,Negatives Found,Include/Exclude,Your Notes,EID,Year
2025_uncertainty-aware_power_consumption_prediction_in_customized_stainless-steel_manufacturing:_a_comparative_study_of_hierarchical_bayesian_and_deep_neural_models,Uncertainty-aware power consumption prediction in customized stainless-steel manufacturing: A comparative study of hierarchical Bayesian and deep neural models,++,Core tech (9) + manufacturing (9) + strong decision or scheduling/simulation/robotics signal,"cnn, convolutional neural network, forecasting, gradient descent, linear regression, optimization","analytics, data-driven, deep learning, neural network",Unclassified,None,,ex. reason for inclusion/exclusion,2-s2.0-105020863011,2025
2025_mamhsan:_a_multi-agent_deep_reinforcement_learning_framework_based_on_multi-head_self-attention_network_with_heterogeneous_graph_embedding_for_flexible_job_shop_scheduling,MAMHSAN: A multi-agent deep reinforcement learning framework based on multi-head self-attention network with heterogeneous graph embedding for flexible job shop scheduling,++,Core tech (9) + manufacturing (8) + strong decision or scheduling/simulation/robotics signal,"feature extraction, markov decision process, mdp, multi-agent reinforcement learning, optimization, ppo, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105017119406,2025
2025_material_delivery_optimization_for_make-to-order_reconfigurable_job_shops_using_an_improved_chaotic_multi-verse_algorithm,Material delivery optimization for make-to-order reconfigurable job shops using an improved chaotic multi-verse algorithm,++,Core tech (4) + manufacturing (3) + strong decision or scheduling/simulation/robotics signal,optimization,"agv, agvs",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105016110247,2025
2025_graph-based_deep_reinforcement_learning_for_dynamic_scheduling_of_flexible_job-shop_considering_worker_fatigue_and_multi-skill_factors,Graph-based deep reinforcement learning for dynamic scheduling of flexible job-shop considering worker fatigue and multi-skill factors,++,Core tech (5) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,"feature extraction, graph neural network, markov decision process, mdp, optimization, ppo, reinforcement learning","neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105012825806,2025
2025_knowledge-_and_data-driven_hybrid_method_for_lot_streaming_scheduling_in_hybrid_flowshop_with_dynamic_order_arrivals,Knowledge- and data-driven hybrid method for lot streaming scheduling in hybrid flowshop with dynamic order arrivals,++,Core tech (5) + manufacturing (7) + strong decision or scheduling/simulation/robotics signal,"deep q-network, optimization, reinforcement learning","data driven, data-driven, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105012751460,2025
2025_probing_an_autonomous_decision-making_production_mechanism_of_the_digital_twin_shop-floor_based_on_the_industrial_large_model,Probing an Autonomous Decision-making Production Mechanism of the Digital Twin Shop-floor based on the Industrial Large Model,++,Core tech (11) + manufacturing (2) + strong decision or scheduling/simulation/robotics signal,"deep q-network, gnn, online learning, reinforcement learning, simulation","digital twin, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105025978446,2025
2025_evolutionary_experience-guided_deep_reinforcement_learning_for_job_shop_scheduling_with_agv_transportation_constraints_in_flexible_manufacturing_system,Evolutionary experience-guided deep reinforcement learning for job shop scheduling with AGV transportation constraints in flexible manufacturing system,++,Core tech (9) + manufacturing (9) + strong decision or scheduling/simulation/robotics signal,"feature extraction, genetic algorithm, optimization, reinforcement learning, representation learning, transformer","agv, agvs, deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105013557816,2025
2025_graph_neural_network_and_expert-guided_deep_reinforcement_learning_for_solving_flexible_job-shop_scheduling_problem,Graph neural network and expert-guided deep reinforcement learning for solving flexible job-shop scheduling problem,++,Core tech (13) + manufacturing (1) + strong decision or scheduling/simulation/robotics signal,"feature extraction, gnn, graph neural network, reinforcement learning","deep learning, neural network, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105008001758,2025
2025_deep_reinforcement_learning_based_proximal_policy_optimization_algorithm_for_dynamic_job_shop_scheduling,Deep reinforcement learning based proximal policy optimization algorithm for dynamic job shop scheduling,++,Core tech (5) + manufacturing (8) + strong decision or scheduling/simulation/robotics signal,"optimization, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105007078109,2025
2025_dynamic_scheduling_for_dual-resource_constrained_flexible_job-shop_via_semantic-aware_graph_modelling_and_deep_reinforcement_learning,Dynamic scheduling for dual-resource constrained flexible job-shop via semantic-aware graph modelling and deep reinforcement learning,++,Core tech (4) + manufacturing (4) + strong decision or scheduling/simulation/robotics signal,"ppo, reinforcement learning","deep learning, reinforcement learning",Factory,None,,ex. reason for inclusion/exclusion,2-s2.0-105012298273,2025
